retriever,split,n,base_minilm_proxy_top1,base_minilm_proxy_best5,base_minilm_proxy_mean5,base_minilm_same_reply_hit1,base_minilm_same_reply_hit5,base_minilm_group_hit1,base_minilm_group_hit5,base_bge_proxy_top1,base_bge_proxy_best5,base_bge_proxy_mean5,base_bge_same_reply_hit1,base_bge_same_reply_hit5,base_bge_group_hit1,base_bge_group_hit5,coverage_global,coverage_class,coverage_team,coverage_intersection,best_routing,best_lift,best_gain,primary_ci_lo,primary_ci_hi,primary_wilcoxon_p,best_gain_M2_team,best_gain_M4_intersection,best_gain_M5_backoff
dense_minilm,dev,319,0.7987618449503164,0.8803832341324199,0.7672271104208355,0.3072100313479624,0.4482758620689655,0.05642633228840126,0.07523510971786834,0.888014921293737,0.9296819026754194,0.8741539641794367,0.3072100313479624,0.4482758620689655,0.05642633228840126,0.07523510971786834,1.0,0.9831034482758622,0.9697492163009404,0.9318808777429468,M4_intersection,laplace_eb_k2|abs,0.05260207955973649,0.035607030014376095,0.07216314634098014,5.290241995020653e-08,0.029812568162208813,0.05260207955973649,0.04383138547356599
bm25,dev,319,0.7231247434246596,0.8712477042663808,0.7069685105754057,0.23510971786833856,0.46394984326018807,0.05642633228840126,0.09090909090909091,0.8529188908566502,0.9251580854942059,0.8455012945359031,0.23510971786833856,0.46394984326018807,0.05642633228840126,0.09090909090909091,1.0,0.9194043887147336,0.8847021943573669,0.789153605015674,M5_backoff,laplace|std2,0.09662488763889175,0.07211444692096461,0.11957234355115963,1.5236502331212015e-12,0.07497730159834261,0.08646454300065773,0.09662488763889175
hybrid_rrf,dev,319,0.7878436350430067,0.8765546302997207,0.7573637547374332,0.30094043887147337,0.45454545454545453,0.05956112852664577,0.08463949843260188,0.8845985823290475,0.927500850261192,0.8689834177494049,0.30094043887147337,0.45454545454545453,0.05956112852664577,0.08463949843260188,1.0,0.9585579937304074,0.937115987460815,0.8805956112852663,M4_intersection,laplace_eb_k2|std2,0.049522272705284406,0.030569311763892725,0.07037498314505834,0.00014711908915133443,0.034422130490358346,0.049522272705284406,0.04347448952519408
dense_bge,dev,319,0.778093494112869,0.8750544196479373,0.7541223310564752,0.2852664576802508,0.44200626959247646,0.05329153605015674,0.08463949843260188,0.8798719178359711,0.9278321702465369,0.8681010235626495,0.2852664576802508,0.44200626959247646,0.05329153605015674,0.08463949843260188,1.0,0.9744514106583071,0.9583072100313479,0.9026645768025078,M4_intersection,laplace_eb_k10|abs,0.07177551005467726,0.04977625934757456,0.09575124262134342,6.267722597802361e-07,0.05174949546826297,0.07177551005467726,0.059944743331416646
hybrid_bge_rrf,dev,319,0.7740572627902405,0.8789205868322647,0.7492798344001501,0.2884012539184953,0.4608150470219436,0.06269592476489028,0.09404388714733543,0.8773821538144891,0.9287142248176108,0.8659991358141165,0.2884012539184953,0.4608150470219436,0.06269592476489028,0.09404388714733543,1.0,0.953730407523511,0.9321003134796237,0.8652037617554859,M4_intersection,laplace_eb_k2|std2,0.06014285883559702,0.03939119411930208,0.0818148704006287,1.1693030962363728e-06,0.04218045612767946,0.06014285883559702,0.05445136765140725
ce_rerank,dev,319,0.7779268806677627,0.8786561122415207,0.7511106159491319,0.2852664576802508,0.4670846394984326,0.050156739811912224,0.08463949843260188,0.8776396951144766,0.9281528580898776,0.8655731801889534,0.2852664576802508,0.4670846394984326,0.050156739811912224,0.08463949843260188,1.0,0.9831034482758622,0.9697492163009404,0.9318808777429468,M4_intersection,laplace_eb_k10|std2,0.053770959984546174,0.036082014670379484,0.07249799279910642,4.385822038774782e-06,0.04059009919626212,0.053770959984546174,0.053667039239668174
