retriever,routing,lift,split,n,minilm_d_proxy_top1,minilm_fb_proxy_top1,minilm_d_proxy_best5,minilm_fb_proxy_best5,minilm_d_proxy_mean5,minilm_fb_proxy_mean5,minilm_d_same_reply_hit1,minilm_fb_same_reply_hit1,minilm_d_same_reply_hit5,minilm_fb_same_reply_hit5,minilm_d_group_hit1,minilm_fb_group_hit1,minilm_d_group_hit5,minilm_fb_group_hit5,bge_d_proxy_top1,bge_fb_proxy_top1,bge_d_proxy_best5,bge_fb_proxy_best5,bge_d_proxy_mean5,bge_fb_proxy_mean5,bge_d_same_reply_hit1,bge_fb_same_reply_hit1,bge_d_same_reply_hit5,bge_fb_same_reply_hit5,bge_d_group_hit1,bge_fb_group_hit1,bge_d_group_hit5,bge_fb_group_hit5,primary_ci_lo,primary_ci_hi,primary_wilcoxon_p,pct_top1_changed,pct_improved,pct_worsened
dense_minilm,none,laplace|abs,dev,319,0.0,0.7987618449503164,0.0,0.8803832341324199,0.0,0.7672271104208355,0.0,0.3072100313479624,0.0,0.4482758620689655,0.0,0.05642633228840126,0.0,0.07523510971786834,0.0,0.888014921293737,0.0,0.9296819026754194,0.0,0.8741539641794367,0.0,0.3072100313479624,0.0,0.4482758620689655,0.0,0.05642633228840126,0.0,0.07523510971786834,0.0,0.0,,0.0,0.0,0.0
dense_minilm,M1_global,laplace|abs,dev,319,-0.05572306423164834,0.7430387807186681,-0.042427893109082425,0.8379553410233375,-0.04289293029465272,0.7243341801261827,-0.05329153605015674,0.25391849529780564,-0.0219435736677116,0.4263322884012539,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.027927319551336354,0.8600876017424006,-0.01946681560393785,0.9102150870714816,-0.021858654780821375,0.8522953093986152,-0.05329153605015674,0.25391849529780564,-0.0219435736677116,0.4263322884012539,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.07622389108012649,-0.03460822534691951,5.655881910530631e-07,0.45141065830721006,0.14106583072100312,0.29780564263322884
dense_minilm,M1_global,laplace_eb_k2|abs,dev,319,-0.06479820220214447,0.733963642748172,-0.0637903482095575,0.8165928859228625,-0.0533605791745141,0.7138665312463213,-0.047021943573667714,0.2601880877742947,-0.03761755485893417,0.4106583072100313,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.029185193739714666,0.8588297275540223,-0.03003204653629315,0.8996498561391263,-0.02464244416141211,0.8495115200180245,-0.047021943573667714,0.2601880877742947,-0.03761755485893417,0.4106583072100313,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.09065251234498424,-0.03851650914025484,5.790212213744447e-06,0.5893416927899686,0.2006269592476489,0.3761755485893417
dense_minilm,M1_global,laplace_eb_k10|abs,dev,319,-0.056271094174874615,0.7424907507754418,-0.05973180894941372,0.8206514251830063,-0.04900273416763563,0.7182243762531998,-0.05329153605015674,0.25391849529780564,-0.034482758620689655,0.41379310344827586,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.02552241040247735,0.8624925108912597,-0.028611941771073776,0.9010699609043457,-0.02285113861568296,0.8513028255637537,-0.05329153605015674,0.25391849529780564,-0.034482758620689655,0.41379310344827586,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.08208790563724258,-0.03217336343087515,1.5333138092046377e-05,0.554858934169279,0.18808777429467086,0.3542319749216301
dense_minilm,M1_global,laplace|std0.5,dev,319,-0.005903527000481058,0.7928583179498354,0.0005639656490666739,0.8809471997814866,0.0026511643420566197,0.769878274762892,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.003225239466723977,0.884789681827013,-0.00020424998292354953,0.9294776526924958,0.0008749852359855458,0.8750289494154222,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.012943237027311027,0.0006928501644852017,0.27677204744647677,0.06896551724137931,0.03134796238244514,0.03761755485893417
dense_minilm,M1_global,laplace_eb_k2|std0.5,dev,319,-0.0012245536037373318,0.7975372913465791,0.0006661972842620085,0.8810494314166819,0.005752960263187981,0.7729800706840234,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.00020831972827732004,0.8878066015654597,-0.0004053992163798652,0.9292765034590396,0.002225008784416703,0.8763789729638535,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.010024169715687772,0.007965908713381865,0.9892757193241231,0.13166144200626959,0.07210031347962383,0.05329153605015674
dense_minilm,M1_global,laplace_eb_k10|std0.5,dev,319,-0.001679199896636054,0.7970826450536804,0.0006418237024713833,0.8810250578348913,0.006193990258027019,0.7734211006788625,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.006269592476489028,0.050156739811912224,0.0,0.07523510971786834,-0.0015634716865037303,0.8864514496072333,-0.00023424905669352852,0.9294476536187258,0.00249630780802999,0.8766502719874666,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.006269592476489028,0.050156739811912224,0.0,0.07523510971786834,-0.009981783673307366,0.006819669843934545,0.9749336743284315,0.11912225705329153,0.06583072100313479,0.047021943573667714
dense_minilm,M1_global,laplace|std1,dev,319,-0.0038315342698351344,0.7949303106804814,0.0007062536141715453,0.8810894877465915,0.0012094495251634624,0.7684365599459989,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.0023518863329693067,0.8856630349607677,0.00016974804917099334,0.9298516507245904,0.0001785903328264777,0.8743325545122632,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.011916221545127493,0.004097360648144746,0.9785533759834825,0.12852664576802508,0.06896551724137931,0.05642633228840126
dense_minilm,M1_global,laplace_eb_k2|std1,dev,319,-0.0011384589218046972,0.7976233860285118,-0.0033997566815827706,0.8769834774508372,0.004580391373567072,0.7718075017944026,-0.009404388714733543,0.29780564263322884,0.006269592476489028,0.45454545454545453,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,0.00015554243120653876,0.8881704637249436,-0.002420290510482549,0.9272616121649369,0.0016003669055651727,0.8757543310850019,-0.009404388714733543,0.29780564263322884,0.006269592476489028,0.45454545454545453,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.01109007499750038,0.00974791620428845,0.9974515286321879,0.2225705329153605,0.11285266457680251,0.09404388714733543
dense_minilm,M1_global,laplace_eb_k10|std1,dev,319,0.00046105629130964367,0.7992229012416261,-0.004728496681933867,0.875654737450486,0.003847251841827619,0.771074362262663,-0.006269592476489028,0.30094043887147337,0.006269592476489028,0.45454545454545453,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,0.0011483482245741219,0.8891632695183112,-0.0028175687341480795,0.9268643339412713,0.0015178235533842852,0.8756717877328211,-0.006269592476489028,0.30094043887147337,0.006269592476489028,0.45454545454545453,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.009282983872794245,0.010783015074190858,0.6920123516845572,0.21316614420062696,0.11285266457680251,0.08150470219435736
dense_minilm,M1_global,laplace|std2,dev,319,-0.009902085443275475,0.788859759507041,-0.0033090924114269147,0.8770741417209931,-0.005966500517529755,0.7612606099033057,0.0,0.3072100313479624,0.009404388714733543,0.45768025078369906,-0.003134796238244514,0.05329153605015674,-0.003134796238244514,0.07210031347962383,-0.004905135560558881,0.8831097857331781,-0.0018006827577154464,0.9278812199177039,-0.0031974488664943995,0.870956515312942,0.0,0.3072100313479624,0.009404388714733543,0.45768025078369906,-0.003134796238244514,0.05329153605015674,-0.003134796238244514,0.07210031347962383,-0.0210933806357152,0.0008741689162754992,0.20073296487544123,0.23197492163009403,0.10344827586206896,0.12225705329153605
