split,config_key,protocol,tau,policy_value
dev,backoff_eb,blind,-0.026560540303089623,0.008988054965543897
dev,backoff_eb,blind,-0.015117657644741234,0.009519651602241313
dev,backoff_eb,blind,-0.010527536860372857,0.008764617448690169
dev,backoff_eb,blind,-0.005778849007266038,0.009278435972417036
dev,backoff_eb,blind,-0.0036701271490984376,0.009386833792196172
dev,backoff_eb,blind,-0.0010758392718536972,0.009182032139323722
dev,backoff_eb,blind,0.0,0.008922056017624547
dev,backoff_eb,blind,0.0014576765687971175,0.007894426677667982
dev,backoff_eb,blind,0.0028416016390346,0.008403111214174372
dev,backoff_eb,blind,0.00369827780285591,0.007600701154212593
dev,backoff_eb,blind,0.006426590517122862,0.005176595572767587
dev,backoff_eb,blind,0.00884968647190046,0.005392235648295722
dev,backoff_eb,blind,0.010693625860166502,0.0038572435842412394
dev,backoff_eb,blind,0.01273299968179246,0.003082686176868068
dev,backoff_eb,blind,0.014952982144188026,0.0027896522728253306
dev,backoff_eb,blind,0.01845068406721564,0.002902978593279202
dev,backoff_eb,blind,0.022375367203579435,0.0038180113025593535
dev,backoff_eb,blind,0.025520748677461253,0.003233894612348192
dev,backoff_eb,blind,0.03935346196722597,0.0010872804632754908
dev,backoff_eb,blind,0.05773436728895443,0.00010147013447501443
dev,backoff_eb,conditioned,-0.022867265255231903,0.0041596617631404
dev,backoff_eb,conditioned,-0.01047639553423093,0.0035252622489271492
dev,backoff_eb,conditioned,-0.006753167709188659,0.0037521872214015374
dev,backoff_eb,conditioned,-0.004615160225661119,0.002719262971026023
dev,backoff_eb,conditioned,-0.0014915191028004515,0.0028632736785284777
dev,backoff_eb,conditioned,0.0,0.0024337296295315496
dev,backoff_eb,conditioned,0.0011488341605561847,0.0017963654382101794
dev,backoff_eb,conditioned,0.0031386213645353865,0.0002953442847093445
dev,backoff_eb,conditioned,0.004389430216536743,-0.0003775332508416011
dev,backoff_eb,conditioned,0.005713519266059755,-0.0017312866486725762
dev,backoff_eb,conditioned,0.008261036314404393,-0.0015516348860480568
dev,backoff_eb,conditioned,0.010333748776020276,-0.001951582940020905
dev,backoff_eb,conditioned,0.012060994226825338,-0.0014078909513718656
