config_key,protocol,score,threshold,n,always_on,oracle,eval_policy,eval_policy_ci_lower,eval_policy_ci_upper,pct_open,gain_vs_always_on,ceiling_recovery,policy
backoff_eb,blind,sign_proba,0.3,398,0.0021496653818904453,0.02477031873174049,-0.0010561572022773512,-0.008289732301055487,0.006255423314120597,0.4472361809045226,-0.0032058225841677963,-0.14172104291536955,sign_gate
backoff_eb,blind,mag_pred,-0.015117657644741234,398,0.0021496653818904453,0.02477031873174049,0.0035221825292961082,-0.005168660312666365,0.01210517146526344,0.914572864321608,0.001372517147405663,0.060675398105367345,magnitude_gbr
backoff_eb,blind,ridge_pred,-0.03728733948299443,398,0.0021496653818904453,0.02477031873174049,0.0034564275238382156,-0.004377462823954809,0.010964629283390148,0.8819095477386935,0.0013067621419477703,0.05776854106455033,magnitude_ridge
backoff_eb,conditioned,sign_proba,0.3,398,-0.0016627949919907291,0.021133621433871475,-0.0008526292053898376,-0.00889146888216761,0.00721831847468962,0.4723618090452261,0.0008101657866008916,0.03553917297640564,sign_gate
backoff_eb,conditioned,mag_pred,-0.022867265255231903,398,-0.0016627949919907291,0.021133621433871475,-0.001708293141769105,-0.010677100661627238,0.0075308149772925475,0.9698492462311558,-4.5498149778375836e-05,-0.001995846580814292,magnitude_gbr
backoff_eb,conditioned,ridge_pred,-0.03216490451852326,398,-0.0016627949919907291,0.021133621433871475,-0.0023701348430921684,-0.011260006053551059,0.006747719686801296,0.8994974874371859,-0.0007073398511014393,-0.031028554571365545,magnitude_ridge
intersection_laplace,blind,sign_proba,0.5,398,-0.038320932013155826,0.034271912733514105,0.0022646739854285465,-0.00387057931555538,0.008512684979929984,0.40954773869346733,0.04058560599858437,0.5590854875603447,sign_gate
intersection_laplace,blind,mag_pred,-0.0348428083140028,398,-0.038320932013155826,0.034271912733514105,0.007411686946923409,-0.002028418762899523,0.017717521567243946,0.8341708542713567,0.045732618960079234,0.6299879708485613,magnitude_gbr
intersection_laplace,blind,ridge_pred,-0.05796004757196436,398,-0.038320932013155826,0.034271912733514105,0.002862200290713478,-0.006462510459911284,0.012464322402942263,0.7889447236180904,0.0411831323038693,0.567316688684507,magnitude_ridge
intersection_laplace,conditioned,sign_proba,0.3,398,0.01511545971634999,0.04415496938567066,0.014581374955087451,0.0038255570840146674,0.025686271175573663,0.7864321608040201,-0.000534084761262538,-0.01839165906533132,sign_gate
intersection_laplace,conditioned,mag_pred,-0.05197423462117368,398,0.01511545971634999,0.04415496938567066,0.01593903835919035,0.005135009397083341,0.027005997619792877,0.9673366834170855,0.000823578642840361,0.02836062496297746,magnitude_gbr
intersection_laplace,conditioned,ridge_pred,-0.101279588653712,398,0.01511545971634999,0.04415496938567066,0.01188192046692024,0.0017529879752827351,0.02242934787084334,0.8844221105527639,-0.00323353924942975,-0.1113496503987422,magnitude_ridge
team_laplace,blind,sign_proba,0.4,398,-0.03826932176648073,0.03401008501049861,0.0009545018362939058,-0.008195789700289767,0.010679248894035964,0.6180904522613065,0.039223823602774634,0.542669417913198,sign_gate
team_laplace,blind,mag_pred,-0.12770952934711205,398,-0.03826932176648073,0.03401008501049861,0.002412057308545664,-0.008405416967094544,0.01351528767702268,0.8844221105527639,0.04068137907502639,0.5628349884020247,magnitude_gbr
team_laplace,blind,ridge_pred,-0.059451075952157977,398,-0.03826932176648073,0.03401008501049861,0.0015321734300510368,-0.006752772333016198,0.010092134750799167,0.7386934673366834,0.03980149519653176,0.550661619558399,magnitude_ridge
team_laplace,conditioned,sign_proba,0.3,398,0.013767140257598167,0.049794898915979734,0.013364999475491107,0.001133720095657823,0.02582880143244662,0.8919597989949749,-0.00040214078210706015,-0.011161970577192855,sign_gate
team_laplace,conditioned,mag_pred,-0.09353448012587125,398,0.013767140257598167,0.049794898915979734,0.01506415455035828,0.002979403981779838,0.028123887407420264,0.9698492462311558,0.0012970142927601121,0.03600041581988261,magnitude_gbr
team_laplace,conditioned,ridge_pred,-0.1313204478238762,398,0.013767140257598167,0.049794898915979734,0.014915175136908813,0.0029633752959569797,0.027598846665859662,0.9673366834170855,0.001148034879310646,0.031865287269086474,magnitude_ridge
