config_key,protocol,tau,n,n_open,n_closed,pct_open,mean_delta_all,mean_delta_open,mean_delta_closed,harm_rate_all,harm_rate_open,harm_rate_closed,policy_value,gain_vs_always_on
backoff_eb,blind,-0.015117657644741234,398,364,34,0.914572864321608,0.0021496653818904453,0.0038511776007138765,-0.01606652425492511,0.3391959798994975,0.3269230769230769,0.47058823529411764,0.0035221825292961082,0.001372517147405663
backoff_eb,conditioned,-0.022867265255231903,398,386,12,0.9698492462311558,-0.0016627949919907291,-0.0017614007005805796,0.0015090219676494598,0.3417085427135678,0.3393782383419689,0.4166666666666667,-0.001708293141769105,-4.5498149778375836e-05
intersection_laplace,blind,-0.0348428083140028,398,332,66,0.8341708542713567,-0.038320932013155826,0.008885094592998544,-0.2757815506986596,0.5326633165829145,0.4819277108433735,0.7878787878787878,0.007411686946923409,0.045732618960079234
intersection_laplace,conditioned,-0.05197423462117368,398,385,13,0.9673366834170855,0.01511545971634999,0.01647723965443574,-0.025214176911574144,0.39949748743718594,0.3948051948051948,0.5384615384615384,0.01593903835919035,0.000823578642840361
team_laplace,blind,-0.12770952934711205,398,352,46,0.8844221105527639,-0.03826932176648073,0.002727269343185154,-0.3519823667795762,0.5226130653266332,0.4659090909090909,0.9565217391304348,0.002412057308545664,0.04068137907502639
team_laplace,conditioned,-0.09353448012587125,398,386,12,0.9698492462311558,0.013767140257598167,0.015532470235861644,-0.043017640709877014,0.42462311557788945,0.422279792746114,0.5,0.01506415455035828,0.0012970142927601121
