retriever,split,n,base_minilm_proxy_top1,base_minilm_proxy_best5,base_minilm_proxy_mean5,base_minilm_same_reply_hit1,base_minilm_same_reply_hit5,base_minilm_group_hit1,base_minilm_group_hit5,base_bge_proxy_top1,base_bge_proxy_best5,base_bge_proxy_mean5,base_bge_same_reply_hit1,base_bge_same_reply_hit5,base_bge_group_hit1,base_bge_group_hit5,coverage_global,coverage_class,coverage_team,coverage_intersection,best_routing,best_lift,best_gain,primary_ci_lo,primary_ci_hi,primary_wilcoxon_p,best_gain_M2_team,best_gain_M4_intersection,best_gain_M5_backoff
dense_minilm,dev,319,0.7987618449503164,0.8803832341324199,0.7672271104208355,0.3072100313479624,0.4482758620689655,0.05642633228840126,0.07523510971786834,0.888014921293737,0.9296819026754194,0.8741539641794367,0.3072100313479624,0.4482758620689655,0.05642633228840126,0.07523510971786834,1.0,0.9831034482758622,0.9697492163009404,0.9318808777429468,M4_intersection,laplace_eb_k10|std1,0.011201270134845124,0.004484744977241026,0.0191649739715186,0.07311654378063953,0.00945300627558209,0.011201270134845124,0.009020670080633373
bm25,dev,319,0.7231247434246596,0.8712477042663808,0.7069685105754057,0.23510971786833856,0.46394984326018807,0.05642633228840126,0.09090909090909091,0.8529188908566502,0.9251580854942059,0.8455012945359031,0.23510971786833856,0.46394984326018807,0.05642633228840126,0.09090909090909091,1.0,0.9194043887147336,0.8847021943573669,0.789153605015674,M5_backoff,laplace_eb_k2|std0.5,0.011963089711987486,-0.0006281771162834287,0.025042505415162324,0.0427712367056132,0.008958021932074269,0.00992691302000542,0.011963089711987486
hybrid_rrf,dev,319,0.7878436350430067,0.8765546302997207,0.7573637547374332,0.30094043887147337,0.45454545454545453,0.05956112852664577,0.08463949843260188,0.8845985823290475,0.927500850261192,0.8689834177494049,0.30094043887147337,0.45454545454545453,0.05956112852664577,0.08463949843260188,1.0,0.9585579937304074,0.937115987460815,0.8805956112852663,M4_intersection,laplace_eb_k2|std0.5,0.015304218919299614,0.000616543919875704,0.03097605066006085,0.06611638910351304,0.007036227464302207,0.015304218919299614,0.013306647772699314
