lift,routing,train_gain,dev_gain,dev_pct_improved,dev_pct_worsened,min_evidence,w_global,w_class,w_team,w_intersection
laplace_eb_k2|absolute1,M1_global,-0.06283454966343141,-0.06479820220214447,0.2006269592476489,0.3761755485893417,,,,,
laplace_eb_k2|absolute1,M2_team,0.016740829974215624,0.019940134885262546,0.2507836990595611,0.19435736677115986,,,,,
laplace_eb_k2|absolute1,M3_class,-0.0024221335964145856,-0.015985228927064464,0.23197492163009403,0.21630094043887146,,,,,
laplace_eb_k2|absolute1,M4_intersection,0.044851995953666325,0.05260207955973649,0.21316614420062696,0.0877742946708464,,,,,
laplace_eb_k2|absolute1,M5_backoff,0.040680212051191864,0.05144454750194445,0.219435736677116,0.09717868338557993,1.0,,,,
laplace_eb_k2|absolute1,M5_backoff,0.04157674996100646,0.04672730932461804,0.22570532915360503,0.10344827586206896,2.0,,,,
laplace_eb_k2|absolute1,M5_backoff,0.03784031129006195,0.04033095736441941,0.21630094043887146,0.12539184952978055,3.0,,,,
laplace_eb_k2|absolute1,M5_backoff,0.03217715522404845,0.03277988226202588,0.21003134796238246,0.13166144200626959,5.0,,,,
laplace_eb_k2|absolute1,M5_backoff,0.02356555637853657,0.023414770882798586,0.21316614420062696,0.14733542319749215,8.0,,,,
laplace_eb_k2|absolute1,M6_blend,0.025939013223441696,0.02836077673168018,0.11598746081504702,0.0438871473354232,,0.0,0.0,0.0,0.25
laplace_eb_k2|absolute1,M6_blend,0.03413323494595113,0.042472069131262995,0.16614420062695925,0.07523510971786834,,0.0,0.0,0.0,0.5
laplace_eb_k2|absolute1,M6_blend,0.04023442654987131,0.05130251724751765,0.1974921630094044,0.07836990595611286,,0.0,0.0,0.0,0.75
laplace_eb_k2|absolute1,M6_blend,0.044851995953666325,0.05260207955973649,0.21316614420062696,0.0877742946708464,,0.0,0.0,0.0,1.0
laplace_eb_k2|absolute1,M6_blend,0.015794528189755908,0.020725515125126673,0.13479623824451412,0.06583072100313479,,0.0,0.0,0.25,0.0
laplace_eb_k2|absolute1,M6_blend,0.028659207033309535,0.03334459542153771,0.18181818181818182,0.09404388714733543,,0.0,0.0,0.25,0.25
laplace_eb_k2|absolute1,M6_blend,0.0385875018153887,0.047861649850412594,0.22884012539184953,0.09090909090909091,,0.0,0.0,0.25,0.5
laplace_eb_k2|absolute1,M6_blend,0.03973811488478723,0.05275735911857746,0.2445141065830721,0.10658307210031348,,0.0,0.0,0.25,0.75
laplace_eb_k2|absolute1,M6_blend,0.041023157303357295,0.05328401697793724,0.2445141065830721,0.13166144200626959,,0.0,0.0,0.25,1.0
laplace_eb_k2|absolute1,M6_blend,0.018921172572777166,0.02814252561302768,0.19435736677115986,0.14106583072100312,,0.0,0.0,0.5,0.0
laplace_eb_k2|absolute1,M6_blend,0.033457825783213734,0.04180460055373306,0.22884012539184953,0.12225705329153605,,0.0,0.0,0.5,0.25
laplace_eb_k2|absolute1,M6_blend,0.03734045930960956,0.04907337423168753,0.2664576802507837,0.12539184952978055,,0.0,0.0,0.5,0.5
laplace_eb_k2|absolute1,M6_blend,0.038567236932005165,0.04963881247983457,0.26332288401253917,0.14733542319749215,,0.0,0.0,0.5,0.75
laplace_eb_k2|absolute1,M6_blend,0.03838647196386519,0.04745044560408144,0.25705329153605017,0.1724137931034483,,0.0,0.0,0.5,1.0
laplace_eb_k2|absolute1,M6_blend,0.018522464629667886,0.025968973340939578,0.22570532915360503,0.1786833855799373,,0.0,0.0,0.75,0.0
laplace_eb_k2|absolute1,M6_blend,0.029273583301012075,0.038586999169991684,0.2507836990595611,0.16300940438871472,,0.0,0.0,0.75,0.25
laplace_eb_k2|absolute1,M6_blend,0.03312201251870908,0.04218751347410642,0.25705329153605017,0.18181818181818182,,0.0,0.0,0.75,0.5
laplace_eb_k2|absolute1,M6_blend,0.03486486472128965,0.04466994771249242,0.26332288401253917,0.19122257053291536,,0.0,0.0,0.75,0.75
laplace_eb_k2|absolute1,M6_blend,0.03680986146032089,0.03869764332814277,0.25705329153605017,0.23510971786833856,,0.0,0.0,0.75,1.0
laplace_eb_k2|absolute1,M6_blend,0.016740829974215624,0.019940134885262546,0.2507836990595611,0.19435736677115986,,0.0,0.0,1.0,0.0
laplace_eb_k2|absolute1,M6_blend,0.025374572609279705,0.029338256890964358,0.2507836990595611,0.20376175548589343,,0.0,0.0,1.0,0.25
laplace_eb_k2|absolute1,M6_blend,0.030587915996999684,0.03563521420553934,0.25391849529780564,0.21003134796238246,,0.0,0.0,1.0,0.5
laplace_eb_k2|absolute1,M6_blend,0.0324099929215692,0.03924184006443218,0.2664576802507837,0.22884012539184953,,0.0,0.0,1.0,0.75
laplace_eb_k2|absolute1,M6_blend,0.03404857835584959,0.03656309914299313,0.2664576802507837,0.2476489028213166,,0.0,0.0,1.0,1.0
laplace_eb_k2|absolute1,M6_blend,-0.011180324322949239,-0.02370784722478786,0.14106583072100312,0.12539184952978055,,0.0,0.25,0.0,0.0
laplace_eb_k2|absolute1,M6_blend,0.034053154866760575,0.03503370075997514,0.18495297805642633,0.12539184952978055,,0.0,0.25,0.0,0.25
laplace_eb_k2|absolute1,M6_blend,0.03933698193494714,0.04537170869663218,0.219435736677116,0.13166144200626959,,0.0,0.25,0.0,0.5
laplace_eb_k2|absolute1,M6_blend,0.04244698288771992,0.054398250208472755,0.25705329153605017,0.13166144200626959,,0.0,0.25,0.0,0.75
laplace_eb_k2|absolute1,M6_blend,0.04412662521310168,0.056310844330298114,0.26332288401253917,0.15047021943573669,,0.0,0.25,0.0,1.0
laplace_eb_k2|absolute1,M6_blend,0.02943500088064259,0.03244382440810293,0.20376175548589343,0.11285266457680251,,0.0,0.25,0.25,0.0
laplace_eb_k2|absolute1,M6_blend,0.03799486885368103,0.04094911608436264,0.23510971786833856,0.12539184952978055,,0.0,0.25,0.25,0.25
