experiment_id,ticket_id,expected_team,expected_class,baseline_cosine,feedback_cosine,delta_cosine,baseline_rouge,feedback_rouge,delta_rouge,baseline_top1_faiss,top5_faiss_mean,retrieval_margin,top5_spread,retrieval_overlap,gate_active
baseline_dev_conditioned_continuous,R-1002,(GI-UX) File & Print,onboarding,0.9753744602203369,0.9753744602203369,0.0,0.85,0.85,0.0,0.9835428595542908,0.9823434948921204,0.0007875561714172363,0.002096116542816162,5,False
baseline_dev_conditioned_continuous,R-100,(GI-IaaS) Admin - Local IT purchase,other,0.577663242816925,0.577663242816925,0.0,0.5,0.5,0.0,0.4417307376861572,0.4262809157371521,0.0009710788726806641,0.030615508556365967,5,False
baseline_dev_conditioned_continuous,R-1004,(GI-UX) File & Print,onboarding,0.7333608865737915,0.7333608865737915,0.0,0.47826086956521735,0.47826086956521735,0.0,0.9802106022834778,0.9760651588439941,0.004369080066680908,0.0062806010246276855,5,False
baseline_dev_conditioned_continuous,R-1003,(GI-UX) Account Management,onboarding,0.9148533940315247,0.9148533940315247,0.0,0.5740181268882174,0.5740181268882174,0.0,0.9898489713668823,0.9877109527587891,0.002393960952758789,0.0030056238174438477,5,False
baseline_dev_conditioned_continuous,R-1006,(GI-IaaS) Development Platform,software_license,0.843457818031311,0.843457818031311,0.0,0.27177700348432055,0.27177700348432055,0.0,0.9273176193237305,0.900359034538269,0.0,0.07632613182067871,5,False
baseline_dev_conditioned_continuous,R-1016,(GI-UX) Group,software_support,0.4994949996471405,0.4994949996471405,0.0,0.1581920903954802,0.1581920903954802,0.0,0.7709735035896301,0.730560839176178,0.03222852945327759,0.05926424264907837,5,False
baseline_dev_conditioned_continuous,R-1007,(GI-UX) Group,vpn_access,0.7540507316589355,0.7540507316589355,0.0,0.28148148148148144,0.28148148148148144,0.0,0.7904136180877686,0.6832613945007324,0.1014372706413269,0.14977645874023438,5,False
baseline_dev_conditioned_continuous,R-1020,(BF) Information Security Office,admin_rights,0.6486910581588745,0.6486910581588745,0.0,0.16429353778751368,0.16429353778751368,0.0,0.7411284446716309,0.6947420239448547,0.032095909118652344,0.08486711978912354,5,False
baseline_dev_conditioned_continuous,R-1021,(GI-SM) Service Desk,other,0.1351948231458664,0.1351948231458664,0.0,0.01875,0.01875,0.0,0.5464298129081726,0.49958673119544983,0.02174907922744751,0.08864825963973999,5,False
baseline_dev_conditioned_continuous,R-1036,(LF) IT Office Access Italy,office_access,0.7813769578933716,0.7813769578933716,0.0,0.48076923076923084,0.48076923076923084,0.0,0.9019222259521484,0.88750821352005,0.004760026931762695,0.035939812660217285,5,False
baseline_dev_conditioned_continuous,R-1024,(GI-UX) Windows,admin_rights,0.6962202191352844,0.6962202191352844,0.0,0.14806629834254142,0.14806629834254142,0.0,0.9945774674415588,0.8743798136711121,0.13314872980117798,0.16711223125457764,5,False
baseline_dev_conditioned_continuous,R-1032,(GI-CF) Robot Process Automation,admin_rights,0.7005170583724976,0.7005170583724976,0.0,0.1735052754982415,0.1735052754982415,0.0,0.7944412231445312,0.7735104560852051,0.006741166114807129,0.048583924770355225,5,False
baseline_dev_conditioned_continuous,R-1033,(GI-UX) Network Access,vpn_access,0.8246241807937622,0.8246241807937622,0.0,0.2968197879858658,0.2968197879858658,0.0,0.8120355606079102,0.6854199767112732,0.01991981267929077,0.22287887334823608,5,False
baseline_dev_conditioned_continuous,R-1039,(GI-IaaS) Development Platform,other,0.4799397885799408,0.4799397885799408,0.0,0.13333333333333333,0.13333333333333333,0.0,0.44303590059280396,0.39604097604751587,0.028113096952438354,0.08270794153213501,5,False
baseline_dev_conditioned_continuous,R-1051,(GI-CF) Robot Process Automation,admin_rights,0.5635267496109009,0.5635267496109009,0.0,0.14766558089033657,0.14766558089033657,0.0,0.7941269874572754,0.7698143124580383,0.01692885160446167,0.04419374465942383,5,False
baseline_dev_conditioned_continuous,R-1062,(LF) IT Office Access Italy,offboarding,0.8566235899925232,0.8566235899925232,0.0,0.7894736842105262,0.7894736842105262,0.0,0.986281156539917,0.9832005500793457,0.0013720989227294922,0.005002260208129883,5,False
baseline_dev_conditioned_continuous,R-105,(GI-UX) File & Print,hardware_support,0.14650920033454895,0.14650920033454895,0.0,0.13043478260869565,0.13043478260869565,0.0,0.34468740224838257,0.2836891710758209,0.061859965324401855,0.08573031425476074,5,False
baseline_dev_conditioned_continuous,R-1060,(BF) Employee Platform (SAP SF),other,0.6927605867385864,0.6927605867385864,0.0,0.24324324324324323,0.24324324324324323,0.0,0.7914108633995056,0.6482924222946167,0.14574986696243286,0.19330698251724243,5,False
baseline_dev_conditioned_continuous,R-1069,(GI-IaaS) Backend Application Srv. & Project Support,offboarding,0.8815202713012695,0.8815202713012695,0.0,0.7894736842105262,0.7894736842105262,0.0,0.9905262589454651,0.9890152215957642,0.0015132427215576172,0.0023096203804016113,5,False
baseline_dev_conditioned_continuous,R-108,(GI-UX) Network Access,other,0.5440825819969177,0.5440825819969177,0.0,0.15853658536585366,0.15853658536585366,0.0,0.7693555355072021,0.677189826965332,0.09323692321777344,0.13904482126235962,5,False
