fraction,n_train_queries,coverage_global,coverage_class,coverage_team,coverage_intersection,laplace_M1_global_d_proxy_top1,laplace_M2_team_d_proxy_top1,laplace_M4_intersection_d_proxy_top1,laplace_M5_backoff2_d_proxy_top1,laplace_eb_M1_global_d_proxy_top1,laplace_eb_M2_team_d_proxy_top1,laplace_eb_M4_intersection_d_proxy_top1,laplace_eb_M5_backoff2_d_proxy_top1
0.01,8,0.7436927899686522,0.3574420062695925,0.24311598746081506,0.15571159874608148,-0.041690550249385235,0.0006041863623737914,0.003182307626106149,-0.0246765195062168,-0.05251158973710104,-8.224593387875807e-05,0.005005891102608468,-0.04375863261579253
0.02,17,0.8946489028213166,0.5502068965517242,0.42571159874608144,0.2770376175548589,-0.06072873892174993,0.002561568397573169,0.008739539122553455,-0.04322549272270224,-0.0693303914045839,0.003032948972429601,0.017653253653486693,-0.056752256353657264
0.05,43,0.9780564263322884,0.7505391849529782,0.6565203761755486,0.4765235109717869,-0.05596266678858514,0.0027680937504413364,0.018259345337187982,-0.029567151138307907,-0.06205080868004818,0.0021191986540455053,0.025962102047655276,-0.04028930198109262
0.1,87,0.9957147335423197,0.8579404388714734,0.7822100313479624,0.6169655172413793,-0.05229554569763264,0.008238779007220717,0.025575870038433503,-0.0013319554858400146,-0.06000898102514422,0.009873999062003012,0.03548117428317339,0.002028486126782752
0.25,219,0.9998746081504702,0.9410752351097178,0.8916238244514106,0.7812633228840125,-0.05373732742377583,0.006821951938086542,0.03710554669549846,0.02013234952610675,-0.062490469950680444,0.01334386153794755,0.04262085245414214,0.021504033528571966
0.5,439,0.9999999999999999,0.9696771159874608,0.9393793103448276,0.8694796238244514,-0.053248265533938674,0.009998189264960983,0.04250196956074723,0.03361654174762273,-0.0603637728548162,0.020337456746207884,0.04569781717134867,0.03559861873688182
0.75,658,0.9999999999999999,0.9795736677115989,0.9602413793103448,0.9141285266457682,-0.05489981847823974,0.005050813933968731,0.04222826594048906,0.04299923398745097,-0.06483693431630777,0.020254300889737183,0.050746264119507015,0.04400546237078954
1.0,878,0.9999999999999999,0.983103448275862,0.9697492163009404,0.9318808777429467,-0.05572306423164835,0.0034875393871416486,0.041889549037412425,0.047084964029374184,-0.06479820220214447,0.01994013488526254,0.052602079559736496,0.04672730932461803
