fraction,n_keep,seed,lift,routing,mean_delta_top1,mean_delta_best5,pct_top1_changed,coverage_global,coverage_class,coverage_team,coverage_intersection
0.01,8,1000,laplace,M1_global,-0.04242007324594689,-0.04328139380881779,0.43573667711598746,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M2_team,0.0017217029014538075,-0.005527752740629788,0.109717868338558,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M4_intersection,0.0011854226639651953,-0.0005652011842189538,0.07836990595611286,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M5_backoff2,-0.043154952212654314,-0.046683912577113386,0.322884012539185,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M1_global,-0.04947173270779344,-0.0601531000206463,0.4827586206896552,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M2_team,0.0006485484353614077,-0.007002725987038268,0.13479623824451412,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M4_intersection,0.0015025563468006337,-0.0008164531198041193,0.10658307210031348,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M5_backoff2,-0.04722863922718924,-0.05448563537067007,0.3322884012539185,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1001,laplace,M1_global,-0.01877505890441165,-0.008085938269815475,0.4670846394984326,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M2_team,-0.0015066663112759963,-0.0070433844593251384,0.05642633228840126,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M4_intersection,9.213943840194271e-05,0.0003320576628921174,0.01567398119122257,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M5_backoff2,-0.004839248908537683,-0.005147092955239514,0.3072100313479624,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M1_global,-0.04595703121309744,-0.02425966323075997,0.5611285266457681,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M2_team,0.0006742506962398003,-0.009913499452477338,0.09090909090909091,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M4_intersection,-0.0019374947562860471,2.479889549805453e-05,0.02821316614420063,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M5_backoff2,-0.014034687602734864,-0.015282786658565079,0.3573667711598746,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1002,laplace,M1_global,-0.07270868063019735,-0.06412508560572298,0.42946708463949845,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace,M2_team,0.0054986331156428704,0.00114150046368004,0.13166144200626959,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace,M4_intersection,0.0016925714232704856,0.000640017485543852,0.09090909090909091,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace,M5_backoff2,-0.04695382502899274,-0.038301386382886236,0.27899686520376177,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace_eb,M1_global,-0.07471576233782738,-0.08035120134443324,0.49216300940438873,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace_eb,M2_team,0.0011673626434466683,-0.004284630912037853,0.1536050156739812,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace_eb,M4_intersection,0.0018642714778457688,0.0006865915086202113,0.10658307210031348,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1002,laplace_eb,M5_backoff2,-0.07080632184273024,-0.06696208335202315,0.335423197492163,0.6212539184952979,0.35460815047021943,0.287460815047022,0.21388714733542322
0.01,8,1003,laplace,M1_global,-0.04796417320269776,-0.03477855797471671,0.45768025078369906,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace,M2_team,0.0005825227330844605,-0.00997897786406514,0.13793103448275862,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace,M4_intersection,0.008023047708792372,-0.0005849299012306716,0.07836990595611286,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace,M5_backoff2,-0.012098236400692441,-0.017776368366887202,0.29153605015673983,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace_eb,M1_global,-0.05692366217511201,-0.06188721751624888,0.5078369905956113,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace_eb,M2_team,0.0007845208889638368,-0.011268069611447731,0.1755485893416928,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace_eb,M4_intersection,0.01229094412633244,-1.435145315331725e-05,0.10658307210031348,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1003,laplace_eb,M5_backoff2,-0.01545931321793589,-0.01959128689523027,0.3072100313479624,0.8137617554858935,0.4448275862068965,0.28626959247648903,0.19253918495297806
0.01,8,1004,laplace,M1_global,-0.019604866255693673,-0.01291926335952125,0.44200626959247646,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace,M2_team,0.005192552847922035,-0.0010392944267177283,0.07523510971786834,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace,M4_intersection,-6.227428823429215e-05,5.9999829175703955e-05,0.03134796238244514,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace,M5_backoff2,-0.003586136190028026,-0.005623150862122778,0.26959247648902823,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace_eb,M1_global,-0.039929192583295615,-0.03741232186649287,0.4231974921630094,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace_eb,M2_team,-0.002475234174803133,-0.004413721516588265,0.08150470219435736,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace_eb,M4_intersection,0.0015014687955940032,-6.749656133143506e-05,0.03761755485893417,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1004,laplace_eb,M5_backoff2,-0.029552446018472362,-0.02959625053928937,0.29780564263322884,0.7103134796238244,0.2757680250783699,0.15219435736677114,0.07125391849529782
0.01,8,1005,laplace,M1_global,-0.05467332788629218,-0.06251067198742893,0.42946708463949845,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace,M2_team,2.2918709953750563e-05,-0.007720073188733905,0.11912225705329153,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace,M4_intersection,0.006952118420488782,-0.001186651309082127,0.08150470219435736,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace,M5_backoff2,0.00744705431186667,-0.0016690923315604278,0.22884012539184953,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace_eb,M1_global,-0.07757338037171334,-0.08692890391641277,0.4608150470219436,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace_eb,M2_team,-0.0007223705746537092,-0.010835691025264585,0.18495297805642633,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace_eb,M4_intersection,0.008458216899427873,0.00015043511659747756,0.1536050156739812,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1005,laplace_eb,M5_backoff2,-0.07373308355344874,-0.061744312787878106,0.3981191222570533,0.8203448275862069,0.43692789968652035,0.29677115987460817,0.2452037617554859
0.01,8,1006,laplace,M1_global,-0.031391969984134536,-0.040984618019160805,0.4702194357366771,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace,M2_team,0.003672939623037476,0.0023196920705813224,0.13166144200626959,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace,M4_intersection,0.005699825324234918,0.0009804622132950067,0.07210031347962383,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace,M5_backoff2,-0.009634720704585407,-0.006635411219163375,0.2852664576802508,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace_eb,M1_global,-0.04782718995755369,-0.06366463365225956,0.4890282131661442,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace_eb,M2_team,0.008973890290738647,-0.0013626858732169699,0.12225705329153605,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace_eb,M4_intersection,0.010147434183422675,-0.0009760869707807104,0.0877742946708464,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1006,laplace_eb,M5_backoff2,-0.04352426848908577,-0.05368349192004219,0.335423197492163,0.8275235109717869,0.3582445141065831,0.2941692789968652,0.1524137931034483
0.01,8,1007,laplace,M1_global,-0.03721687957924735,-0.0101979373951317,0.3824451410658307,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace,M2_team,-0.0048188153292318125,-0.0066152740515137915,0.14733542319749215,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace,M4_intersection,0.0019682080581270413,9.325034566060129e-05,0.10344827586206896,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace,M5_backoff2,-0.03791182007068377,-0.0076102644298517595,0.26332288401253917,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace_eb,M1_global,-0.02955903714306676,-0.027774768283000933,0.4263322884012539,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace_eb,M2_team,-0.00309386419652024,-0.007167879363586162,0.1786833855799373,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace_eb,M4_intersection,0.005172495838243012,0.001176208257675171,0.12539184952978055,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
0.01,8,1007,laplace_eb,M5_backoff2,-0.04457266451236223,-0.015857220863847523,0.329153605015674,0.6989028213166145,0.3393416927899687,0.2869905956112852,0.2064576802507837
