fraction,n_keep,lift,routing,mean_delta_top1_mean,mean_delta_top1_std,mean_delta_top1_count,mean_delta_best5_mean,mean_delta_best5_std,mean_delta_best5_count,pct_top1_changed_mean,pct_top1_changed_std,pct_top1_changed_count,coverage_global_mean,coverage_global_std,coverage_global_count,coverage_class_mean,coverage_class_std,coverage_class_count,coverage_team_mean,coverage_team_std,coverage_team_count,coverage_intersection_mean,coverage_intersection_std,coverage_intersection_count,mean_delta_top1_ci_low,mean_delta_top1_ci_high,mean_delta_best5_ci_low,mean_delta_best5_ci_high,pct_top1_changed_ci_low,pct_top1_changed_ci_high,coverage_global_ci_low,coverage_global_ci_high,coverage_class_ci_low,coverage_class_ci_high,coverage_team_ci_low,coverage_team_ci_high,coverage_intersection_ci_low,coverage_intersection_ci_high
0.01,8,laplace,M1_global,-0.04169055024938524,0.01615415140826478,10,-0.03339163461775989,0.02000909467351197,10,0.4316614420062696,0.03078739476177495,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.051702997024382566,-0.03167810347438792,-0.04579339998266312,-0.020989869252856654,0.4125792170349602,0.450743666977579,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M2_team,0.0006041863623737915,0.003438834303907696,10,-0.0045234786912939015,0.004037558829876983,10,0.11442006269592478,0.030935990267685398,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.0015272252212947335,0.0027355979460423167,-0.007025983580803672,-0.002020973801784131,0.09524573727586194,0.13359438811598762,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M4_intersection,0.0031823076261061484,0.0032071082810714194,10,-3.2668432285045765e-05,0.0006296295347232081,10,0.06332288401253919,0.03127124014343849,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,0.001194521319395409,0.005170093932816888,-0.00042291686100517846,0.0003575799964350869,0.043940768566713376,0.082704999458365,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M5_backoff2,-0.024676519506216795,0.022009018007606414,10,-0.020535983642720877,0.018072350477823795,10,0.2774294670846395,0.02777436543365105,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.038317850195885475,-0.011035188816548119,-0.03173734251854096,-0.009334624766900794,0.26021473703874676,0.29464419713053225,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M1_global,-0.05251158973710103,0.01566143348961029,10,-0.05296238427251858,0.02120864231585003,10,0.4761755485893417,0.04339803076134982,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.062218646782180906,-0.042804532692021155,-0.06610763696890978,-0.039817131576127374,0.44927717044764603,0.5030739267310373,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M2_team,-8.224593387875807e-05,0.004687202054447552,10,-0.007859707527960355,0.0035808451592811924,10,0.1438871473354232,0.040455203676779045,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.0029874038655918235,0.0028229119978343074,-0.010079138351696887,-0.005640276704223823,0.11881275231779376,0.16896154235305266,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M4_intersection,0.005005891102608468,0.005100810234844032,10,2.306847363056434e-05,0.0006253519058502895,10,0.0871473354231975,0.04325564466623283,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,0.001844376164744989,0.008167406040471947,-0.0003645286532457973,0.000410665600506926,0.06033720909757242,0.11395746174882257,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M5_backoff2,-0.04375863261579253,0.020385060195779188,10,-0.04146743486153669,0.020487195191161725,10,0.3313479623824451,0.032879680782960385,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.05639342382561936,-0.031123841405965694,-0.05416552999735056,-0.028769339725722813,0.31096892509981416,0.3517269996650761,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.02,17,laplace,M1_global,-0.060728738921749924,0.01584718941942942,10,-0.0458304114149282,0.01565053915782432,10,0.5510971786833856,0.03290457769012176,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.07055092868494352,-0.05090654915855632,-0.05553071608321034,-0.03613010674664605,0.5307027101378232,0.571491647228948,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace,M2_team,0.002561568397573169,0.004175486641088354,10,-0.004559083063400651,0.005145114521898653,10,0.2184952978056426,0.04403741007544931,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-2.642503501409108e-05,0.005149561830160429,-0.007748058082875823,-0.0013701080439254792,0.19120062825936224,0.245789967351923,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
