seq_id,title,team,intent_class,request_type,is_form_reply,reply_len,desc_len,top1_faiss,top2_faiss,top5_mean,top5_min,top5_max,retrieval_margin,retrieval_spread,top1_team,top1_class,top5_teams,top5_classes
R-1242,Access to Renus Network from LFT VPN,(GI-UX) Network Access,vpn_access,Service request,1,1060,144,0.6228986382484436,0.6026136875152588,0.5998804569244385,0.5827527046203613,0.6228986382484436,0.020284950733184814,0.040145933628082275,(GI-UX) Network Access,vpn_access,(GI-UX) Network Access|(GI-UX) Group|(GI-UX) Group|(GI-UX) Network Access|(GI-UX) Network Access,vpn_access|vpn_access|vpn_access|vpn_access|vpn_access
R-1243,Adding some new PDU and ROUTER on iTop,(GI-SM) Service Desk,other,Service request,0,928,120,0.5464298129081726,0.49064743518829346,0.43679189682006836,0.3764898180961609,0.5464298129081726,0.05578237771987915,0.16993999481201172,(GI-SM) Service Desk,other,(GI-SM) Service Desk|(GI-IaaS) Admin - Local IT purchase|(GI-UX) Network Access|(GI-SaaS) SAP & Synertrade|(GI-SaaS) SAP & Synertrade,other|other|vpn_access|enterprise_systems|enterprise_systems
R-1245,Request for Activation of Driver for GSM SIM Slot on DELL Laptop,(GI-UX) Windows,software_support,Service request,1,422,644,0.43851733207702637,0.4308716654777527,0.42631739377975464,0.41621726751327515,0.43851733207702637,0.007645666599273682,0.02230006456375122,(GI-UX) Mobile Device Management,hardware_support,(GI-UX) Mobile Device Management|(GI-UX) Network Access|(GI-UX) Mobile Device Management|(GI-UX) Group|(GI-UX) Group,hardware_support|vpn_access|hardware_support|other|software_license
R-1247,MS TEAMS - Sharepoint lost files,(GI-UX) Office365 & MS-Teams,other,Incident,1,217,212,0.8317610621452332,0.5507352948188782,0.5707183480262756,0.4366243779659271,0.8317610621452332,0.281025767326355,0.39513668417930603,(GI-UX) Office365 & MS-Teams,software_support,(GI-UX) Office365 & MS-Teams|(GI-UX) Group|(GI-UX) Group|(GI-UX) Group|(GI-UX) File & Print,software_support|software_support|hardware_support|software_support|software_support
R-1249,Need to install weblogic,(GI-CF) Robot Process Automation,admin_rights,Service request,1,4822,37,0.7511392831802368,0.6222147941589355,0.6446658372879028,0.6137223243713379,0.7511392831802368,0.12892448902130127,0.13741695880889893,(GI-CF) Robot Process Automation,admin_rights,(GI-CF) Robot Process Automation|(GI-UX) Group|(GI-CF) Robot Process Automation|(GI-CF) Robot Process Automation|(BF) Information Security Office,admin_rights|software_license|admin_rights|admin_rights|admin_rights
R-1251,Need to access BPER url,(GI-UX) Network Access,vpn_access,Service request,1,1095,113,0.5831088423728943,0.5747469663619995,0.538332462310791,0.4716784358024597,0.5831088423728943,0.008361876010894775,0.11143040657043457,(GI-UX) Network Access,vpn_access,(GI-UX) Network Access|(GI-UX) Network Access|(GI-UX) Network Access|(GI-UX) Network Access|(GI-UX) Network Access,vpn_access|vpn_access|vpn_access|vpn_access|vpn_access
R-1254,gft_italia_new_dismiss:20240515_123456_A-BCDE [Ticket to manage Admin Location I,(LF) IT Office Access Italy,offboarding,Service request,0,128,472,0.9777041673660278,0.9740934371948242,0.9732577204704285,0.9697777032852173,0.9777041673660278,0.0036107301712036133,0.007926464080810547,(LF) IT Office Access Italy,offboarding,(LF) IT Office Access Italy|(LF) IT Office Access Italy|(LF) IT Office Access Italy|(LF) IT Office Access Italy|(LF) IT Office Access Italy,offboarding|offboarding|offboarding|offboarding|offboarding
R-1257,Please create a new Distribution List called ISP TF Governance (email ISP.TF.Gov,(GI-UX) Account Management,other,Service request,1,1506,106,0.8798790574073792,0.5320414304733276,0.5857917070388794,0.49207067489624023,0.8798790574073792,0.3478376269340515,0.3878083825111389,(GI-UX) Account Management,email_support,(GI-UX) Account Management|(GI-UX) Account Management|(GI-UX) Account Management|(GI-IaaS) Backend M365 (2nd level)|(GI-UX) Group,email_support|email_support|email_support|email_support|email_support
R-1259,gft_italia_new_entry_20240521_528439_HERNANDEZ,(GI-UX) Account Management,onboarding,Service request,1,1238,504,0.9686480760574341,0.9433361291885376,0.9464471936225891,0.9350029230117798,0.9686480760574341,0.025311946868896484,0.0336451530456543,(GI-UX) File & Print,onboarding,(GI-UX) File & Print|(GI-UX) Account Management|(GI-UX) Account Management|(GI-UX) Account Management|(GI-UX) Account Management,onboarding|onboarding|onboarding|onboarding|onboarding
R-126,I can't turn on my pc,(GI-UX) File & Print,other,Incident,0,200,78,0.5789697170257568,0.46834230422973633,0.46489039063453674,0.3941987156867981,0.5789697170257568,0.11062741279602051,0.18477100133895874,(GI-UX) Group,hardware_support,(GI-UX) Group|(GI-UX) Group|(GI-UX) File & Print|(GI-UX) Group|(GI-UX) Group,hardware_support|hardware_support|hardware_support|hardware_support|hardware_support
R-1261,gft_italia_new_entry_20240521_123456_ROSSI,(GI-UX) Account Management,onboarding,Service request,1,1165,488,0.9716503620147705,0.9651257991790771,0.9641728401184082,0.9601644277572632,0.9716503620147705,0.006524562835693359,0.011485934257507324,(GI-UX) Account Management,onboarding,(GI-UX) Account Management|(GI-UX) Group|(GI-UX) Account Management|(GI-UX) Account Management|(GI-UX) Account Management,onboarding|onboarding|onboarding|onboarding|onboarding
R-1262,Citrix Workspace App,(GI-UX) Group,software_license,Service request,1,2179,78,0.8590604066848755,0.7685315608978271,0.7512123584747314,0.6432155966758728,0.8590604066848755,0.09052884578704834,0.21584481000900269,(GI-UX) File & Print,software_support,(GI-UX) File & Print|(GI-UX) Group|(GI-UX) Group|(GI-UX) Group|(GI-UX) Windows,software_support|software_license|software_license|hardware_support|software_support
R-1264,gft_italia_new_entry_20240521_902109_E-CNLD_REHIRE,(GI-UX) Account Management,onboarding,Service request,1,1165,676,0.9063380360603333,0.9000267386436462,0.8922529220581055,0.8762863874435425,0.9063380360603333,0.006311297416687012,0.03005164861679077,(GI-UX) File & Print,other,(GI-UX) File & Print|(GI-UX) Account Management|(GI-UX) Group|(GI-UX) Group|(GI-UX) Account Management,other|onboarding|onboarding|onboarding|onboarding
R-1267,Q2-VODAFONE . 30xsamsA55+11xS24+3xIP15+1xS24PLUS+1xIP15PRO,(GI-IaaS) Admin - Local IT purchase,other,Service request,0,102,171,0.7293404340744019,0.6693305969238281,0.6585092544555664,0.595673680305481,0.7293404340744019,0.06000983715057373,0.1336667537689209,(GI-IaaS) Admin - Local IT purchase,other,(GI-IaaS) Admin - Local IT purchase|(GI-IaaS) Admin - Local IT purchase|(GI-IaaS) Admin - Local IT purchase|(GI-IaaS) Admin - Local IT purchase|(GI-IaaS) Admin - Local IT purchase,other|other|other|other|other
R-1268,I need support regarding all assignment,(GI-SaaS) Salesforce,other,Service request,1,730,255,0.5051367282867432,0.4913409650325775,0.48696598410606384,0.4789046347141266,0.5051367282867432,0.01379576325416565,0.026232093572616577,(BF) Employee Platform (SAP SF),other,(BF) Employee Platform (SAP SF)|(GI-SaaS) Salesforce|(GI-UX) File & Print|(GI-UX) Group|(GI-UX) File & Print,other|admin_rights|offboarding|onboarding|offboarding
R-1269,gft_italia_new_entry_20240520_596834_OLINER [Ticket to manage device assignments,(GI-UX) Group,onboarding,Service request,0,127,511,0.9763669371604919,0.9751861095428467,0.9739591479301453,0.9722597599029541,0.9763669371604919,0.0011808276176452637,0.004107177257537842,(GI-UX) File & Print,onboarding,(GI-UX) File & Print|(GI-UX) Group|(GI-UX) File & Print|(GI-UX) File & Print|(GI-UX) Group,onboarding|onboarding|onboarding|onboarding|onboarding
