lift,routing,n_queries,n_pool_candidates,pct_at_minus_cap,pct_at_plus_cap,pct_zero,pct_negative,pct_positive,n_distinct_lift_values,lift_std,mean_pool_faiss_std,lift_std_over_faiss_std,pct_queries_zero_evidence_in_top5_with_judged_in_pool
laplace,M1_global,319,31900,0.4992789968652038,0.0,0.0003761755485893417,0.9963949843260188,0.0032288401253918494,661,0.039451713898972056,0.06346641816957897,0.6216155730351621,0.012539184952978056
laplace,M2_team,319,31900,0.4315360501567398,0.028338557993730407,0.038338557993730406,0.7707523510971787,0.19090909090909092,1339,0.11779205546400076,0.06346641816957897,1.8559745273361183,0.15987460815047022
laplace,M3_class,319,31900,0.4837617554858934,0.02890282131661442,0.01836990595611285,0.7575862068965518,0.22404388714733542,1016,0.13140556143133164,0.06346641816957897,2.0704738855787137,0.05956112852664577
laplace,M4_intersection,319,31900,0.40203761755485895,0.0803448275862069,0.07871473354231975,0.6825078369905956,0.23877742946708463,1040,0.13595642399300542,0.06346641816957897,2.142178933585584,0.21316614420062696
laplace,M5_backoff,319,31900,0.49379310344827587,0.08078369905956113,0.006238244514106583,0.7510344827586207,0.24272727272727274,1477,0.14019734827854305,0.06346641816957897,2.209000481229979,0.06269592476489028
laplace_eb_k2,M1_global,319,31900,0.0,0.004639498432601881,0.0,0.4273354231974922,0.5726645768025078,1504,0.07873305841382883,0.06346641816957897,1.2405467440033906,0.0
laplace_eb_k2,M2_team,319,31900,0.03601880877742947,0.1331347962382445,0.03025078369905956,0.48253918495297804,0.48721003134796237,3432,0.12039960107496711,0.06346641816957897,1.8970599656855636,0.034482758620689655
laplace_eb_k2,M3_class,319,31900,0.06636363636363636,0.14316614420062695,0.01689655172413793,0.4309090909090909,0.5521943573667711,2436,0.1155648447537565,0.06346641816957897,1.8208817842055185,0.006269592476489028
laplace_eb_k2,M4_intersection,319,31900,0.05686520376175549,0.1770219435736677,0.06811912225705329,0.4980877742946708,0.4337931034482759,2955,0.12041550900547932,0.06346641816957897,1.8973106168325953,0.04075235109717868
laplace_eb_k2,M5_backoff,319,31900,0.05921630094043887,0.18463949843260188,0.0,0.5120689655172413,0.4879310344827586,4917,0.12608788589849165,0.06346641816957897,1.9866866531145868,0.0
laplace_eb_k10,M1_global,319,31900,0.0,0.002163009404388715,0.0,0.4273354231974922,0.5726645768025078,1504,0.07247340852960142,0.06346641816957897,1.14191742057912,0.0
laplace_eb_k10,M2_team,319,31900,0.011880877742946709,0.054858934169279,0.03025078369905956,0.48253918495297804,0.48721003134796237,3918,0.09896624133114328,0.06346641816957897,1.5593481432449934,0.034482758620689655
laplace_eb_k10,M3_class,319,31900,0.053479623824451414,0.10526645768025078,0.01689655172413793,0.4309090909090909,0.5521943573667711,2643,0.10544095945496383,0.06346641816957897,1.6613661601830287,0.003134796238244514
laplace_eb_k10,M4_intersection,319,31900,0.014169278996865204,0.08974921630094043,0.06811912225705329,0.4980877742946708,0.4337931034482759,3614,0.09922468025191182,0.06346641816957897,1.563420201007541,0.047021943573667714
laplace_eb_k10,M5_backoff,319,31900,0.01420062695924765,0.09332288401253919,0.0,0.5120689655172413,0.4879310344827586,5710,0.10352210328542444,0.06346641816957897,1.6311319635026316,0.0
