scope,mean,n
intersection:other:(GI-SM) Service Desk,0.06280555555555556,1800.0
intersection:other:(GI-SaaS) BI & SuccessFactors,0.005,200.0
"intersection:other:(GI-SaaS) Marketing, Communications & Web",0.0138125,800.0
intersection:other:(GI-SaaS) SAP & Synertrade,0.008916666666666666,1200.0
intersection:other:(GI-SaaS) Salesforce,0.04139062499999999,3200.0
intersection:other:(GI-UX) Account Management,0.0106875,800.0
intersection:other:(GI-UX) Application,0.03908333333333333,600.0
intersection:other:(GI-UX) File & Print,0.07983333333333333,1800.0
intersection:other:(GI-UX) Group,0.07352083333333333,4800.0
intersection:other:(GI-UX) Mobile Device Management,0.05,200.0
intersection:other:(GI-UX) Network Access,0.0167,1000.0
intersection:other:(GI-UX) Office365 & MS-Teams,0.0215,1600.0
intersection:other:(GI-UX) System Management & Anti Virus,0.0105,200.0
intersection:other:(GI-UX) Unified Communication,0.0215,400.0
intersection:other:(GI-UX) Windows,0.39025,200.0
intersection:other:(LF) Facilities Iberia,0.01,200.0
intersection:other:(LF) IT Office Access Italy,0.0225,200.0
intersection:other:{GI-SM} Team Communication,0.00625,400.0
intersection:password_reset:(GI-UX) Group,0.09394117647058822,3400.0
intersection:project_tools:(GI-IaaS) Development Platform,0.043562500000000004,1600.0
intersection:software_license:(GI-IaaS) Admin - License & Asset Management,0.18870454545454543,2200.0
intersection:software_license:(GI-IaaS) Admin - Local IT purchase,0.146875,400.0
intersection:software_license:(GI-IaaS) Development Platform,0.19455208333333335,9600.0
intersection:software_license:(GI-UX) Group,0.26140196078431377,10200.0
intersection:software_support:(GI-SM) Service Desk,0.2091875,800.0
intersection:software_support:(GI-UX) File & Print,0.22567045454545456,4400.0
intersection:software_support:(GI-UX) Group,0.1665294117647059,3400.0
intersection:software_support:(GI-UX) Network Access,0.1595,800.0
intersection:software_support:(GI-UX) Windows,0.18758333333333332,1800.0
intersection:vpn_access:(GI-IaaS) Backend Application Srv. & Project Support,0.005,200.0
"intersection:vpn_access:(GI-IaaS) Network Cloud (Azure, Remote Access)",0.10019444444444445,1800.0
"intersection:vpn_access:(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",0.2128625,4000.0
intersection:vpn_access:(GI-UX) Group,0.18711363636363634,2200.0
intersection:vpn_access:(GI-UX) Network Access,0.18356,10000.0
