scope,mean,n
intersection:other:(GI-SM) Service Desk,0.09097222222222222,1800.0
intersection:other:(GI-SaaS) BI & SuccessFactors,0.0225,200.0
"intersection:other:(GI-SaaS) Marketing, Communications & Web",0.037125,800.0
intersection:other:(GI-SaaS) SAP & Synertrade,0.018083333333333333,1200.0
intersection:other:(GI-SaaS) Salesforce,0.055390625,3200.0
intersection:other:(GI-UX) Account Management,0.041875,800.0
intersection:other:(GI-UX) Application,0.028583333333333332,600.0
intersection:other:(GI-UX) File & Print,0.10600000000000001,1800.0
intersection:other:(GI-UX) Group,0.09058333333333334,4800.0
intersection:other:(GI-UX) Mobile Device Management,0.048,200.0
intersection:other:(GI-UX) Network Access,0.16935,1000.0
intersection:other:(GI-UX) Office365 & MS-Teams,0.047562499999999994,1600.0
intersection:other:(GI-UX) System Management & Anti Virus,0.0125,200.0
intersection:other:(GI-UX) Unified Communication,0.036000000000000004,400.0
intersection:other:(GI-UX) Windows,0.17149999999999999,200.0
intersection:other:(LF) Facilities Iberia,0.0265,200.0
intersection:other:(LF) IT Office Access Italy,0.018500000000000003,200.0
intersection:other:{GI-SM} Team Communication,0.032625,400.0
intersection:password_reset:(GI-UX) Group,0.07832352941176471,3400.0
intersection:project_tools:(GI-IaaS) Development Platform,0.035875,1600.0
intersection:software_license:(GI-IaaS) Admin - License & Asset Management,0.20872727272727273,2200.0
intersection:software_license:(GI-IaaS) Admin - Local IT purchase,0.11825,400.0
intersection:software_license:(GI-IaaS) Development Platform,0.304265625,9600.0
intersection:software_license:(GI-UX) Group,0.31290686274509805,10200.0
intersection:software_support:(GI-SM) Service Desk,0.1825,800.0
intersection:software_support:(GI-UX) File & Print,0.14947727272727274,4400.0
intersection:software_support:(GI-UX) Group,0.13901470588235293,3400.0
intersection:software_support:(GI-UX) Network Access,0.17731249999999998,800.0
intersection:software_support:(GI-UX) Windows,0.14566666666666667,1800.0
intersection:vpn_access:(GI-IaaS) Backend Application Srv. & Project Support,0.0395,200.0
"intersection:vpn_access:(GI-IaaS) Network Cloud (Azure, Remote Access)",0.18544444444444444,1800.0
"intersection:vpn_access:(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",0.2151875,4000.0
intersection:vpn_access:(GI-UX) Group,0.16375,2200.0
intersection:vpn_access:(GI-UX) Network Access,0.20168,10000.0
