fraction,n_train_queries,coverage_global,coverage_class,coverage_team,coverage_intersection,laplace_M1_global_d_proxy_top1,laplace_M2_team_d_proxy_top1,laplace_M4_intersection_d_proxy_top1,laplace_M5_backoff2_d_proxy_top1,laplace_eb_M1_global_d_proxy_top1,laplace_eb_M2_team_d_proxy_top1,laplace_eb_M4_intersection_d_proxy_top1,laplace_eb_M5_backoff2_d_proxy_top1
0.01,8,0.7436927899686522,0.3574420062695925,0.24311598746081506,0.15571159874608148,-0.04570046040144834,-0.015235664725864195,-0.010558105463331397,-0.03327597532666589,-0.05531537112981361,-0.018914644226291712,-0.00989607638653169,-0.048655400510445285
0.02,17,0.8946489028213166,0.5502068965517242,0.42571159874608144,0.2770376175548589,-0.07334378752565496,-0.02396086658289814,-0.017276375822512707,-0.05372918305398902,-0.073413035030649,-0.03142943702357876,-0.017825168762414433,-0.06851007932487607
0.05,43,0.9780564263322884,0.7505391849529782,0.6565203761755486,0.4765235109717869,-0.07790500764562792,-0.03789391807721327,-0.02104815528567495,-0.07343640901311811,-0.07954554983697902,-0.04355991666313249,-0.021104186919275496,-0.07759680358874013
0.1,87,0.9957147335423197,0.8579404388714734,0.7822100313479624,0.6169655172413793,-0.07702292480555635,-0.047616551782597195,-0.03435154195442842,-0.0640325083674682,-0.08763886771185271,-0.04934606980240457,-0.031954174545421314,-0.0667011933897543
0.25,219,0.9998746081504702,0.9410752351097178,0.8916238244514106,0.7812633228840125,-0.062384948892326195,-0.06599222332192439,-0.04826358752237592,-0.06667729553220601,-0.08639999819119522,-0.061809007568886284,-0.04059487586624943,-0.061705108461054876
0.5,439,0.9999999999999999,0.9696771159874608,0.9393793103448276,0.8694796238244514,-0.05446076931017319,-0.0645977398771851,-0.05040597412209712,-0.05708068820609943,-0.08855186123459316,-0.0620636532672894,-0.04422874298168574,-0.05248285873229601
0.75,658,0.9999999999999999,0.9795736677115989,0.9602413793103448,0.9141285266457682,-0.052830183105455675,-0.06758138534370636,-0.055641598283637274,-0.050301086561620044,-0.08841845157751843,-0.06658539300007879,-0.04212016032360564,-0.047351809170645985
1.0,878,0.9999999999999999,0.983103448275862,0.9697492163009404,0.9318808777429467,-0.05366657437248664,-0.07404151069566747,-0.05999795607872144,-0.04734813121839377,-0.09259146766088971,-0.07446185355789983,-0.046297758829350756,-0.048870433589040675
