fraction,n_keep,lift,routing,mean_delta_top1_mean,mean_delta_top1_std,mean_delta_top1_count,mean_delta_best5_mean,mean_delta_best5_std,mean_delta_best5_count,pct_top1_changed_mean,pct_top1_changed_std,pct_top1_changed_count,coverage_global_mean,coverage_global_std,coverage_global_count,coverage_class_mean,coverage_class_std,coverage_class_count,coverage_team_mean,coverage_team_std,coverage_team_count,coverage_intersection_mean,coverage_intersection_std,coverage_intersection_count,mean_delta_top1_ci_low,mean_delta_top1_ci_high,mean_delta_best5_ci_low,mean_delta_best5_ci_high,pct_top1_changed_ci_low,pct_top1_changed_ci_high,coverage_global_ci_low,coverage_global_ci_high,coverage_class_ci_low,coverage_class_ci_high,coverage_team_ci_low,coverage_team_ci_high,coverage_intersection_ci_low,coverage_intersection_ci_high
0.01,8,laplace,M1_global,-0.04570046040144834,0.0239812733159882,10,-0.03036784611899277,0.023452896526979912,10,0.39905956112852664,0.04670858083247994,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.06056420759587848,-0.030836713207018196,-0.04490410198668056,-0.01583159025130498,0.3701092827944015,0.4280098394626518,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M2_team,-0.015235664725864195,0.016169181084097446,10,-0.010513151845775054,0.011060775488226577,10,0.12413793103448276,0.04359258264025217,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.02525742699045406,-0.005213902461274331,-0.017368691518964207,-0.0036576121725859015,0.09711896838894934,0.15115689368001617,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M4_intersection,-0.010558105463331396,0.015504566227800793,10,-0.0075237594007698345,0.01147286171624794,10,0.0755485893416928,0.04032002819968973,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.020167935172235404,-0.0009482757544273853,-0.014634712764254248,-0.00041280603728542035,0.050557976952778166,0.10053920173060743,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace,M5_backoff2,-0.03327597532666589,0.026252074748847814,10,-0.01563039569645466,0.018788663903283483,10,0.2749216300940439,0.03758997014854893,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.04954717983089085,-0.017004770822440927,-0.027275730233104672,-0.003985061159804647,0.251623125216002,0.2982201349720858,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M1_global,-0.05531537112981362,0.022867951691243147,10,-0.039948816695557124,0.021808022819983494,10,0.441692789968652,0.056396330891860726,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.06948907443215109,-0.04114166782747615,-0.053465569277268025,-0.026432064113846222,0.40673798193887223,0.4766475979984318,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M2_team,-0.01891464422629171,0.017666449912048552,10,-0.01781912034488397,0.014764781687527342,10,0.15768025078369904,0.05634984560246293,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.029864423324997242,-0.007964865127586176,-0.026970426845279224,-0.008667813844488715,0.12275425463478828,0.1926062469326098,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M4_intersection,-0.009896076386531692,0.01629117397988035,10,-0.01240552714252173,0.015407485114624316,10,0.09843260188087774,0.04726975221775359,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.019993450631292126,0.00020129785822874113,-0.02195518535408298,-0.0028558689309604816,0.06913450591865795,0.12773069784309754,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.01,8,laplace_eb,M5_backoff2,-0.048655400510445285,0.022795433142162452,10,-0.026010621054138882,0.018258542845543315,10,0.3153605015673981,0.051386865729944865,10,0.7436927899686521,0.06908475933187413,10,0.3574420062695925,0.06222321832355775,10,0.24311598746081503,0.06674675273391967,10,0.1557115987460815,0.06405438556116766,10,-0.06278415635039243,-0.03452664467049813,-0.03732738315508589,-0.014693858953191875,0.28351059221271824,0.34721041092207794,0.7008736125143663,0.7865119674229378,0.3188756559929127,0.3960083565462723,0.20174592150920068,0.2844860534124294,0.11601027925688659,0.19541291823527643
0.02,17,laplace,M1_global,-0.07334378752565496,0.014700730224779662,10,-0.04626821904533709,0.01611052578982257,10,0.5379310344827586,0.03261795279436014,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.08245539451813959,-0.06423218053317033,-0.05625362638188669,-0.036282811708787485,0.5177142178881203,0.5581478510773968,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace,M2_team,-0.023960866582898137,0.015402952181186175,10,-0.01677690924241625,0.011636968114850644,10,0.22946708463949844,0.04515751084019457,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.03350771525320668,-0.014414017912589595,-0.023989576805546302,-0.0095642416792862,0.20147816944662172,0.25745599983237516,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
