fraction,n_keep,seed,lift,routing,mean_delta_top1,mean_delta_best5,pct_top1_changed,coverage_global,coverage_class,coverage_team,coverage_intersection
0.01,8,1000,laplace,M1_global,-0.022007001593101736,-0.01980097872149608,0.34796238244514105,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M2_team,0.001995595925280293,-0.000988477496517863,0.09404388714733543,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M4_intersection,-0.0006781967596200566,-0.00039597406843239235,0.06583072100313479,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace,M5_backoff2,-0.0174325952849418,-0.00930159013473128,0.2507836990595611,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M1_global,-0.02875080516672807,-0.030524216989364743,0.3949843260188088,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M2_team,0.002089118205454656,-0.0032675736189635945,0.10344827586206896,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M4_intersection,0.0003405352558088153,-0.0005286065949167951,0.07836990595611286,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1000,laplace_eb,M5_backoff2,-0.022799281806314253,-0.021777501347296665,0.3103448275862069,0.7218495297805643,0.38749216300940437,0.2252978056426332,0.16855799373040753
0.01,8,1001,laplace,M1_global,-0.017098338953379928,-0.00451906445818635,0.42946708463949845,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M2_team,-0.0047306129270960175,-0.0022714820027725075,0.06269592476489028,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M4_intersection,-0.0019441936457045025,0.000379712230359499,0.018808777429467086,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace,M5_backoff2,-0.009585940749107109,-0.004523049934904403,0.2727272727272727,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M1_global,-0.029929908979275385,-0.02088129050959614,0.46394984326018807,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
0.01,8,1001,laplace_eb,M2_team,-0.002734808992816363,-0.007736008929608384,0.07210031347962383,0.7923510971786834,0.33717868338557994,0.12300940438871476,0.06376175548589341
