lift,routing,train_gain,dev_gain,dev_pct_improved,dev_pct_worsened,min_evidence,w_global,w_class,w_team,w_intersection
laplace|absolute1,M1_global,-0.05150867607402095,-0.05572306423164834,0.14106583072100312,0.29780564263322884,,,,,
laplace|absolute1,M2_team,0.00997734230631169,0.003487539387141649,0.26959247648902823,0.31974921630094044,,,,,
laplace|absolute1,M3_class,-0.005805972955085693,-0.017535468475852266,0.22884012539184953,0.2852664576802508,,,,,
laplace|absolute1,M4_intersection,0.039108999141392244,0.04188954903741242,0.28213166144200624,0.1974921630094044,,,,,
laplace|absolute1,M5_backoff,0.03737690896304974,0.046457242360776495,0.2884012539184953,0.19435736677115986,1.0,,,,
laplace|absolute1,M5_backoff,0.03807848136116812,0.04708496402937417,0.29780564263322884,0.19435736677115986,2.0,,,,
laplace|absolute1,M5_backoff,0.034804973492487956,0.039304271095131633,0.2852664576802508,0.1974921630094044,3.0,,,,
laplace|absolute1,M5_backoff,0.029985924533532257,0.031286353940220085,0.26959247648902823,0.21003134796238246,5.0,,,,
laplace|absolute1,M5_backoff,0.02312184995382914,0.030823749189373095,0.27586206896551724,0.22570532915360503,8.0,,,,
laplace|absolute1,M6_blend,0.025301341964504714,0.02520215386367143,0.1536050156739812,0.0877742946708464,,0.0,0.0,0.0,0.25
laplace|absolute1,M6_blend,0.036091066684769066,0.03528786274286273,0.21316614420062696,0.13479623824451412,,0.0,0.0,0.0,0.5
laplace|absolute1,M6_blend,0.039572414630230576,0.039576889333960405,0.25391849529780564,0.16927899686520376,,0.0,0.0,0.0,0.75
laplace|absolute1,M6_blend,0.039108999141392244,0.04188954903741242,0.28213166144200624,0.1974921630094044,,0.0,0.0,0.0,1.0
laplace|absolute1,M6_blend,0.012402271376424183,0.01193997021005445,0.14106583072100312,0.11912225705329153,,0.0,0.0,0.25,0.0
laplace|absolute1,M6_blend,0.02811464051220668,0.031197554627462615,0.21316614420062696,0.15673981191222572,,0.0,0.0,0.25,0.25
laplace|absolute1,M6_blend,0.03691696927162494,0.03790709428886261,0.2601880877742947,0.18808777429467086,,0.0,0.0,0.25,0.5
laplace|absolute1,M6_blend,0.03955175310075241,0.04109394238520192,0.30094043887147337,0.22884012539184953,,0.0,0.0,0.25,0.75
laplace|absolute1,M6_blend,0.037161665889837596,0.03652213965790772,0.30407523510971785,0.2664576802507837,,0.0,0.0,0.25,1.0
laplace|absolute1,M6_blend,0.013180392953155642,0.010247316223140047,0.19435736677115986,0.18808777429467086,,0.0,0.0,0.5,0.0
laplace|absolute1,M6_blend,0.0317409610148235,0.032345204249164525,0.25705329153605017,0.21003134796238246,,0.0,0.0,0.5,0.25
laplace|absolute1,M6_blend,0.03809260008384629,0.03437146681089386,0.30094043887147337,0.2476489028213166,,0.0,0.0,0.5,0.5
laplace|absolute1,M6_blend,0.03532791208949975,0.036709568448668364,0.31347962382445144,0.27586206896551724,,0.0,0.0,0.5,0.75
laplace|absolute1,M6_blend,0.033841292464793796,0.03514307294753278,0.31347962382445144,0.2946708463949843,,0.0,0.0,0.5,1.0
laplace|absolute1,M6_blend,0.01107780585714652,0.011496242789732625,0.2507836990595611,0.25391849529780564,,0.0,0.0,0.75,0.0
laplace|absolute1,M6_blend,0.029586065174472903,0.03031137019255692,0.29780564263322884,0.25705329153605017,,0.0,0.0,0.75,0.25
laplace|absolute1,M6_blend,0.030633535749514443,0.031134803315221702,0.3166144200626959,0.26959247648902823,,0.0,0.0,0.75,0.5
