retriever,routing,lift,split,n,minilm_d_proxy_top1,minilm_fb_proxy_top1,minilm_d_proxy_best5,minilm_fb_proxy_best5,minilm_d_proxy_mean5,minilm_fb_proxy_mean5,minilm_d_same_reply_hit1,minilm_fb_same_reply_hit1,minilm_d_same_reply_hit5,minilm_fb_same_reply_hit5,minilm_d_group_hit1,minilm_fb_group_hit1,minilm_d_group_hit5,minilm_fb_group_hit5,bge_d_proxy_top1,bge_fb_proxy_top1,bge_d_proxy_best5,bge_fb_proxy_best5,bge_d_proxy_mean5,bge_fb_proxy_mean5,bge_d_same_reply_hit1,bge_fb_same_reply_hit1,bge_d_same_reply_hit5,bge_fb_same_reply_hit5,bge_d_group_hit1,bge_fb_group_hit1,bge_d_group_hit5,bge_fb_group_hit5,primary_ci_lo,primary_ci_hi,primary_wilcoxon_p,pct_top1_changed,pct_improved,pct_worsened
dense_minilm,M1_global,laplace|abs,dev,319,-0.05572306423164834,0.7430387807186681,-0.042427893109082425,0.8379553410233375,-0.04289293029465272,0.7243341801261827,-0.05329153605015674,0.25391849529780564,-0.0219435736677116,0.4263322884012539,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.027927319551336354,0.8600876017424006,-0.01946681560393785,0.9102150870714816,-0.021858654780821375,0.8522953093986152,-0.05329153605015674,0.25391849529780564,-0.0219435736677116,0.4263322884012539,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.07622389108012649,-0.03460822534691951,5.655881910530631e-07,0.45141065830721006,0.14106583072100312,0.29780564263322884
dense_minilm,M1_global,laplace_eb_k2|abs,dev,319,-0.06479820220214447,0.733963642748172,-0.0637903482095575,0.8165928859228625,-0.0533605791745141,0.7138665312463213,-0.047021943573667714,0.2601880877742947,-0.03761755485893417,0.4106583072100313,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.029185193739714666,0.8588297275540223,-0.03003204653629315,0.8996498561391263,-0.02464244416141211,0.8495115200180245,-0.047021943573667714,0.2601880877742947,-0.03761755485893417,0.4106583072100313,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.09065251234498424,-0.03851650914025484,5.790212213744447e-06,0.5893416927899686,0.2006269592476489,0.3761755485893417
dense_minilm,M1_global,laplace_eb_k10|abs,dev,319,-0.056271094174874615,0.7424907507754418,-0.05973180894941372,0.8206514251830063,-0.04900273416763563,0.7182243762531998,-0.05329153605015674,0.25391849529780564,-0.034482758620689655,0.41379310344827586,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.02552241040247735,0.8624925108912597,-0.028611941771073776,0.9010699609043457,-0.02285113861568296,0.8513028255637537,-0.05329153605015674,0.25391849529780564,-0.034482758620689655,0.41379310344827586,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.08208790563724258,-0.03217336343087515,1.5333138092046377e-05,0.554858934169279,0.18808777429467086,0.3542319749216301
dense_minilm,M1_global,tanh_s3.5|abs,dev,319,-0.014214635222309436,0.7845472097280071,-0.0010568351487754654,0.8793263989836445,-0.0020702627665570555,0.7651568476542783,-0.06896551724137931,0.23824451410658307,0.003134796238244514,0.45141065830721006,-0.012539184952978056,0.0438871473354232,0.0,0.07523510971786834,-0.015007391898983325,0.8730075293947537,-0.0009296889589124339,0.928752213716507,-0.002957427389569417,0.8711965367898671,-0.06896551724137931,0.23824451410658307,0.003134796238244514,0.45141065830721006,-0.012539184952978056,0.0438871473354232,0.0,0.07523510971786834,-0.02407970528197139,-0.005815713111089315,3.0473834824023832e-05,0.23824451410658307,0.06269592476489028,0.16614420062695925
dense_minilm,M1_global,bayesian_lcb_k1|abs,dev,319,-0.04155268298234312,0.7572091619679734,-0.037342441820051975,0.843040792312368,-0.035093305276292244,0.7321338051445432,-0.05329153605015674,0.25391849529780564,-0.006269592476489028,0.44200626959247646,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,-0.021656642046094316,0.8663582792476426,-0.01651308192728455,0.9131688207481349,-0.018146431221857343,0.8560075329575794,-0.05329153605015674,0.25391849529780564,-0.006269592476489028,0.44200626959247646,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,-0.0597470891886744,-0.02427336698672428,8.278040524872428e-06,0.329153605015674,0.09717868338557993,0.22570532915360503
dense_minilm,M1_global,laplace|std0.5,dev,319,-0.005903527000481058,0.7928583179498354,0.0005639656490666739,0.8809471997814866,0.0026511643420566197,0.769878274762892,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.003225239466723977,0.884789681827013,-0.00020424998292354953,0.9294776526924958,0.0008749852359855458,0.8750289494154222,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.006269592476489028,0.050156739811912224,-0.003134796238244514,0.07210031347962383,-0.012943237027311027,0.0006928501644852017,0.27677204744647677,0.06896551724137931,0.03134796238244514,0.03761755485893417
dense_minilm,M1_global,laplace_eb_k2|std0.5,dev,319,-0.0012245536037373318,0.7975372913465791,0.0006661972842620085,0.8810494314166819,0.005752960263187981,0.7729800706840234,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.00020831972827732004,0.8878066015654597,-0.0004053992163798652,0.9292765034590396,0.002225008784416703,0.8763789729638535,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.009404388714733543,0.047021943573667714,0.0,0.07523510971786834,-0.010024169715687772,0.007965908713381865,0.9892757193241231,0.13166144200626959,0.07210031347962383,0.05329153605015674
dense_minilm,M1_global,laplace_eb_k10|std0.5,dev,319,-0.001679199896636054,0.7970826450536804,0.0006418237024713833,0.8810250578348913,0.006193990258027019,0.7734211006788625,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.006269592476489028,0.050156739811912224,0.0,0.07523510971786834,-0.0015634716865037303,0.8864514496072333,-0.00023424905669352852,0.9294476536187258,0.00249630780802999,0.8766502719874666,-0.006269592476489028,0.30094043887147337,0.009404388714733543,0.45768025078369906,-0.006269592476489028,0.050156739811912224,0.0,0.07523510971786834,-0.009981783673307366,0.006819669843934545,0.9749336743284315,0.11912225705329153,0.06583072100313479,0.047021943573667714
dense_minilm,M1_global,tanh_s3.5|std0.5,dev,319,4.2433462172840084e-05,0.7988042784124894,0.00016241373500106476,0.880545647867421,0.00043573170713496464,0.7676628421279704,-0.003134796238244514,0.30407523510971785,0.0,0.4482758620689655,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,0.00013811246354751826,0.8881530337572845,-0.000317266929112258,0.9293646357463071,-0.00010093170273640237,0.8740530324767003,-0.003134796238244514,0.30407523510971785,0.0,0.4482758620689655,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,-0.00024213165885602418,0.0004038044978458675,0.8589549227374824,0.02821316614420063,0.018808777429467086,0.009404388714733543
dense_minilm,M1_global,bayesian_lcb_k1|std0.5,dev,319,-0.0005530666408120277,0.7982087783095044,0.00017780845628636758,0.8805610425887063,0.0019490313987746873,0.76917614181961,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,-0.0002832511749387161,0.8877316701187983,0.00017718966104393843,0.9298590923364634,0.0008265679906528208,0.8749805321700894,-0.006269592476489028,0.30094043887147337,0.003134796238244514,0.45141065830721006,-0.003134796238244514,0.05329153605015674,0.0,0.07523510971786834,-0.004170013959504968,0.0030856835664626555,0.5754030229127536,0.025078369905956112,0.012539184952978056,0.012539184952978056
